"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Carnero, Carmen, artist [person]","020248217","Monograph","Language material ; Still image ; Text","Volume","GBC1A5238","9781302926014","The clone saga","","Miles Morales","volume 5 [Miles Morales]","United States of America","New York","Marvel Worldwide","2021","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Garrón, Javier, artist [person]","019393610","Monograph","Language material ; Still image ; Text","Volume","GBB983033","9781302914783","Miles Morales","","Spider-man","volume 1 [Spider-man]","United States of America","New York","Marvel Worldwide","2019","","1 volume, chiefly illustrations, 26 cm","741.5","","Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Garrón, Javier, artist [person]","019735550","Monograph","Language material ; Still image ; Text","Volume","GBC033885","9781302920166","Miles Morales, Spider-man. Volume 3","","","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Garrón, Javier, artist [person]","020188272","Monograph","Language material ; Still image ; Text","Volume","GBC173169","9781846533181","Straight out of Brooklyn","","Miles Morales","","England","Tunbridge Wells","Panini Publishing","2021","","1 volume (unpaged)","741.5","","Morales, Miles, (Fictitious character)--Comic books, strips, etc--Fiction ; Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Jung, Minkyu, artist [person]","019494848","Monograph","Language material ; Still image ; Text","Volume","GBB9D4037","9781302918293","Ms. Marvel. Vol. 1","","","","United States of America","New York","Marvel Worldwide","2019","","1 volume, chiefly illustrations, 26 cm","741.5","","Marvel, Ms--Comic books, strips, etc--Fiction ; Khan, Kamala, (Fictitious character)","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Jung, Minkyu, illustrator [person]","019927760","Monograph","Language material ; Still image ; Text","Volume","GBC0D3503","9781302925000","Ms. Marvel. Vol. 3","","","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","Marvel, Ms, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Kelly, Joe, 1971-, author [person] ; Thompson, Kelly, 1976-, author [person]","019799346","Monograph","Language material ; Still image ; Text","Volume","GBC060465","9781302924997","The end","","","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations","741.5973","","Science fiction comic books, strips, etc","","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Kivelä, Sami, artist [person] ; Wordie, Jason, colorist [person]","019049213","Monograph","Language material ; Still image ; Text","Volume","GBB8G8446","9781684152452","Abbott","","","","United States of America","Los Angeles","BOOM! Studios","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Detroit (Mich.)--History--20th century--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Nguyen, Eric, artist [person]","019071299","Monograph","Language material ; Still image ; Text","Volume","GBB8I0096","9781302912956","No surrender","","Quicksilver","","United States of America","New York","Marvel Worldwide","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Quicksilver, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Quinones, Joe, artist [person] ; Reis, Rod, artist [person]","019157787","Monograph","Language material ; Still image ; Text","Volume","GBB8M6452","9781302911669","The trial of the Exiles","","Exiles","2 [Exiles]","United States of America","New York","Marvel Worldwide","2019","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Rodríguez, Javier, artist [person]","019007737","Monograph","Language material ; Still image ; Text","Volume","GBB8E5695","9781302911652","Exiles. Vol. 1","","","","United States of America","New York","Marvel Worldwide","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Ross, Luke, artist [person]","019799342","Monograph","Language material ; Still image ; Text","Volume","GBC060461","9781302924461","Battle for the serpent crown","","Conan","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Conan, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fantasy ; Fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Sacks, Ethan, author [person] ; Howard, Tini, author [person]","019157816","Monograph","Language material ; Still image ; Text","Volume","GBB8M6481","9781302915971","Time and again","","Marvel universe","","United States of America","New York","Marvel Worldwide","2019","","1 volume, chiefly colour illustrations, 26 cm","741.5973","","Science fiction comic books, strips, etc","","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Vasquez, Joey, author [person]","019700082","Monograph","Language material ; Still image ; Text","Volume","GBC016167","9781302918309","Stormranger","","Manuscript Marvel","2 [Manuscript Marvel]","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Marvel, Ms--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person] ; Vincentini, Federico, artist [person]","019568544","Monograph","Language material ; Still image ; Text","Volume","GBB9G7043","9781302920142","Miles Morales","","Absolute carnage","","United States of America","New York","Marvel Worldwide","2019","","1 volume, chiefly illustrations, 26 cm","741.5","","Carnage, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ahmed, Saladin, author [person]","018550299","Monograph","Language material ; Still image ; Text","Volume","GBB7J1979","9781302907327","Black Bolt. Vol. 1","","","","United States of America","New York","Marvel Worldwide","2017","","1 volume, chiefly colour illustrations, 23 cm","741.5","","Science fiction comic books, strips, etc","","English",""
