"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Culbard, Ian, artist [person]","019282184","Monograph","Language material ; Still image ; Text","Volume","GBB942685","9781781086766","Brink. Book 3","","","","England","Oxford","","2019","","1 volume, chiefly illustrations, 27 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Davidson, Paul, 1970 November 15-, artist [person]","020194279","Monograph","Language material ; Still image ; Text","Volume","GBC175796","9781524120320","The dark powers","","Vampirella","","United States of America","Mount Laurel","Dynamite Entertainment","2021","","1 volume, chiefly illustrations, 27 cm","741.5","","Vampirella, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Derenick, Tom, artist [person] ; Guinaldo, Andres, artist [person] ; Lanning, Andy, author [person]","016489985","Monograph","Language material ; Still image ; Text","Volume","GBB380190","9781608863198","The Hypernaturals. Volume two","","","","United States of America","Los Angeles, California","BOOM!","2013","","1 volume (unpaged), colour illustrations, 26 cm","741.5942","YKL.2016.b.4390","","Science fiction","English","'Originally published in single magazine form as The Hypernaturals 4-8'--title page verso"
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Derenick, Tom, artist [person] ; Guinaldo, Andres, artist [person] ; Lanning, Andy, author [person]","016530626","Monograph","Language material ; Still image ; Text","Volume","GBB399854","9781608863495","The hypernaturals. Volume three","","","","United States of America","Los Angeles","BOOM! Studios","2014","","1 volume (unpaged), illustrations (black and white and colour), 26 cm","741.5942","YKL.2019.b.3150","","Comic or graphic novel ; Science fiction","English","'Originally published in single magazine form as The Hypernaturals number 9-12'--Title page verso"
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Dixon, Chuck, 1954-, author [person]","018550302","Monograph","Language material ; Still image ; Text","Volume","GBB7J1982","9781302907846","Capital punishment","","Punisher epic collection","","United States of America","New York","Marvel Worldwide","2017","","1 volume, 23 cm","741.5973","","Punisher, (Fictitious character)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Eaton, Scot, artist [person] ; Walker, Brad, artist [person] ; Briones, Philippe, 1970-, artist [person]","018366322","Monograph","Language material ; Still image ; Text","Volume","GBB791883","9781401271480","Aquaman. Vol. 1 & 2","","Rebirth","","United States of America","Burbank, California","DC Comics","2017","Deluxe edition","1 volume, chiefly colour illustrations","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Georgiev, Vasco, artist [person]","019766069","Monograph","Language material ; Still image ; Text","Volume","GBC051547","9781524119089","An outcast of Mars","","Dejah Thoris","","United States of America","Mount Laurel","Dynamite Entertainment","2020","","1 volume, chiefly colour illustrations, 27 cm","741.5","","Thoris, Dejah, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Giffen, Keith, artist [person] ; Robinson, James, 1963-, author [person]","019157972","Monograph","Language material ; Still image ; Text","Volume","GBB8M6637","9781401290498","Masters of the Universe omnibus","","","","United States of America","Burbank, California","DC Comics","2019","","1 volume, chiefly illustrations, 28 cm","741.5973","","He-Man, (Fictitious character)--Comic books, strips, etc--Fiction ; Fantasy comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Harrison, Mark, 1963-, author [person]","019454200","Monograph","Language material ; Still image ; Text","Volume","GBB9B7102","9781781086865","A long way home","","Grey area","volume 2 [Grey area]","England","Oxford","","2019","","1 volume, illustrations, 27 cm","741.5","","North America--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Higgins, John, 1949-, artist [person] ; Lanning, Andy, author [person]","017036767","Monograph","Language material ; Still image ; Text","Volume","GBB512795","9780785193357","Scarlet witch","","Avengers","","United States of America","New York","Marvel","2015","","1 volume, chiefly illustrations, 26 cm","741.5","","Avengers (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Huat, Tan Eng, artist [person] ; Lanning, Andy, artist [person]","017164442","Monograph","Language material ; Still image ; Text","Volume","GBB551050","9780785160403","Annihilators. Vols. 1-4","","","","United States of America","New York","Marvel","2015","","1 volume, chiefly illustrations, 29 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Lanning, Andy, author [person]","018419246","Monograph","Language material ; Still image ; Text","Volume","GBB7B8799","9781401276362","Legion","","","","United States of America","Burbank, California","DC Comics","2017","","1 volume, chiefly colour illustrations, 26 cm","741.5941","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Lau, Jonathan, artist [person]","020257129","Monograph","Language material ; Still image ; Text","Volume","GBC1A9994","9781524120290","The superpowers","","Red Sonja","","United States of America","Mount Laurel","Dynamite Entertainment","2021","","1 volume, chiefly illustrations, 27 cm","741.5","","Vampirella, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Lopez, Michael, artist [person] ; Lanning, Andy, author [person]","018459441","Monograph","Language material ; Still image ; Text","Volume","GBB7D6462","9781302908027","Bloodstone & the Legion of Monsters","","","","United States of America","New York","Marvel Worldwide","2017","","1 volume, chiefly colour illustrations, 23 cm","741.5941","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; MacNeil, Colin, artist [person]","015856856","Monograph","Language material ; Still image ; Text","Volume","GBB189716","9781907992490","Insurrection","Judge Dredd magazine","","","England","Oxford","Rebellion","2011","","approximately 130 pages, chiefly black and white illustrations, 26 cm","741.5941","YK.2013.b.4276","","Science fiction","English","'Originally serialised in the Judge Dredd Magazine, issues 279-284 & 305-310'--Inside front cover"
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; MacNeil, Colin, artist [person]","017001858","Monograph","Language material ; Still image ; Text","Volume","GBB501830","9781781083406","Insurrection : liberty","","","","England","Oxford","Rebellion","2015","","approximately 100 pages, chiefly black and white illustrations, 26 cm","741.5941","YKL.2017.b.630","","Science fiction","English","'Originally serialised in the Judge Dredd Magazine, issues 334-342.'--Inside front cover"
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Mandrake, Tom, 1956-, artist [person]","018732847","Monograph","Language material ; Still image ; Text","Volume","GBB829894","9781785861338","Captain Kronos : vampire hunter","","","","England","London","Titan Comics","2018","First edition","1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm","741.5941","YKL.2019.b.612","","Horror","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Piriz, Sebastian, artist [person]","020163395","Monograph","Language material ; Still image ; Text","Volume","GBC160242","9781524120009","A princess of Earth","","Dejah Thoris","2 [Dejah Thoris]","United States of America","Mount Laurel","Dynamite Entertainment","2021","","1 volume, chiefly illustrations, 27 cm","741.5","","Thoris, Dejah, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Pollina, Adam, artist [person]","019569404","Monograph","Language material ; Still image ; Text","Volume","GBB9G7902","9781682153321","Fallen world","","","","United States of America","New York","Valiant Entertainment","2019","","1 volume (unpaged), chiefly illustrations, 27 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Raimondi, Pablo, artist [person] ; Lanning, Andy, author [person]","016885113","Monograph","Language material ; Still image ; Text","Volume","GBB4A6030","9780785190622","Realm of kings","","","","United States of America","New York","Marvel","2014","","1 volume, chiefly colour illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Razek, Cezar, artist [person] ; Lanning, Andy, author [person]","016508619","Monograph","Language material ; Still image ; Text","Volume","GBB390297","9781606904466","Memorial","","Battlestar Galactica","volume 1 [Battlestar Galactica]","United States of America","Montana Laurel, New Jersey","Dynamite Entertainment","2013","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5","YKL.2016.b.4986","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Reed, Scott, 1970-, author [person] ; Lanning, Andy, author [person]","018131816","Monograph","Language material ; Still image ; Text","Volume","GBB6J8008","9781302904470","War of kings aftermath","","Realm of kings","","United States of America","New York","Marvel Worldwide","2017","","1 volume, chiefly colour illustrations, 28 cm","741.5973","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Richardson, Karl, artist [person]","018591460","Monograph","Language material ; Still image ; Text","Volume","GBB7L1545","9781781086025","This island earth","","Grey area","","England","Oxford","","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","North America--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Rimmer, Ian, 1955-, author [person] ; Reed, Dan, 1960-, artist [person] ; Furman, Simon, author [person]","018094091","Monograph","Language material ; Still image ; Text","Volume","GBB6F1997","9781631404948","Transformers classics. Volume 6 : UK series","","","","United States of America","San Diego","","2017","","1 volume, chiefly colour illustrations, 27 cm","741.5","","Transformers (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Romita, John, jr, artist [person]","019007862","Monograph","Language material ; Still image ; Text","Volume","GBB8E5820","9781401283353","Code of honor","","The Silencer","1 [The Silencer]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Ross, Luke, artist [person]","017794376","Monograph","Language material ; Still image ; Text","Volume","GBB645806","9781302900335","Hercules. Vol. 1","","","","United States of America","New York","Marvel Worldwide","2016","","1 volume, chiefly illustrations, 26 cm","741.5","","","Fantasy","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Ryp, Juan Jose, 1971-, artist [person]","019758112","Monograph","Language material ; Still image ; Text","Volume","GBC047439","9781682153604","Rai. Book 1","","","","United States of America","New York","Valiant Entertainment","2020","","1 volume, chiefly illustrations, 27 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Ryp, Juan Jose, 1971-, artist [person]","020041534","Monograph","Language material ; Still image ; Text","Volume","GBC0J7520","9781682153901","Rai. Book 2","","","","United States of America","New York","Valiant Entertainment","2021","","1 volume, chiefly illustrations, 27 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Sandoval, Gerardo, artist [person]","017094473","Monograph","Language material ; Still image ; Text","Volume","GBB528916","9780785193128","Guardians 3000. Volume 1","","","","United States of America","New York","Marvel","2015","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Smith, Dietrich (Dietrich O.), artist [person] ; Larson, Glen A. [person]","017436830","Monograph","Language material ; Still image ; Text","Volume","GBB590393","9781606906941","Death of Apollo","Battlestar Galactica (Television program : 1978-1979)","Battlestar Galactica","volume 1 [Battlestar Galactica]","United States of America","Montana Laurel, New Jersey","Dynamite","2015","","1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm","741.5941","YKL.2017.b.1369","","Science fiction","English","'Based on the Universal Television series 'Battlestar Galactica' created by Glen A. Larson.' ; 'This volume collects issues 1-6 of Battlestar Galactica: Death of Apollo by Dynamite Entertainment.'"
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Smith, Dietrich (Dietrich O.), artist [person] ; Razek, Cezar, artist [person] ; Lanning, Andy, author [person]","018932905","Monograph","Language material ; Still image ; Text","Volume","GBB8C4844","9781524107246","Battlestar Galactica. Omnibus volume two","","","","United States of America","Montana Laurel","Dynamite Entertainment","2018","","480 unnumbered pages, illustrations (black and white and colour), 26 cm","741.5941","YKL.2019.b.4438","Life on other planets--Comic books, strips, etc ; Science fiction comic books, strips, etc ; Space warfare--Comic books, strips, etc","Comic or graphic novel","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Snyder, Scott, author [person]","019243115","Monograph","Language material ; Still image ; Text","Volume","GBB923709","9781401291013","Drowned Earth","","Justice League/Aquaman","","United States of America","Burbank, California","DC Comics","2019","","1 volume, chiefly illustrations, 26 cm","741.5973","","Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc ; Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Snyder, Scott, author [person]","019702598","Monograph","Language material ; Still image ; Text","Volume","GBC018683","9781401295554","Drowned Earth","","Justice League/Aquaman","","United States of America","Burbank, California","DC Comics","2020","","1 volume, chiefly illustrations, 26 cm","741.5973","","Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc ; Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Tenney, Tom, artist [person] ; Lanning, Andy, author [person]","017765109","Monograph","Language material ; Still image ; Text","Volume","GBB633438","9781302900564","Force works","","Avengers/Iron-man","","United States of America","New York","Marvel Worldwide","2016","","1 volume, chiefly colour illustrations, 26 cm","741.5941","","Avengers (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc ; Iron Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Walker, Brad, artist [person] ; Briones, Philippe, 1970-, artist [person]","018366323","Monograph","Language material ; Still image ; Text","Volume","GBB791884","9781401271497","Aquaman","","Rebirth","","United States of America","Burbank, California","DC Comics","2017","","1 volume, chiefly colour illustrations","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Walker, Brad, artist [person] ; Lanning, Andy, author [person]","016885114","Monograph","Language material ; Still image ; Text","Volume","GBB4A6031","9780785190639","Guardians of the Galaxy by Abnett & Lanning : the complete collection. Volume 2","","","","United States of America","New York","Marvel","2014","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Walker, Brad, artist [person] ; Lanning, Andy, author [person]","018376029","Monograph","Language material ; Still image ; Text","Volume","GBB796570","9781302907099","Heroes for hire : the complete collection","","","","United States of America","New York","Marvel Worldwide","2017","","1 volume, chiefly illustrations, 26 cm","741.5941","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Walker, Kevin, 1965-, artist [person] ; Lanning, Andy, author [person]","018862078","Monograph","Language material ; Still image ; Text","Volume","GBB884581","9781302911348","Nova : the complete collection. Vol. 1","","","","United States of America","New York","Marvel Worldwide","2018","","1 volume, chiefly illustrations, 26 cm","741.5941","","Nova, (Fictitious character)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Šejić, Stjepan, artist [person]","018590262","Monograph","Language material ; Still image ; Text","Volume","GBB7L0347","9781401275426","Underworld","","Aquaman ; DC Universe rebirth","4 [Aquaman]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person] ; Šejić, Stjepan, artist [person]","018875570","Monograph","Language material ; Still image ; Text","Volume","GBB893576","9781401280697","The crown comes down","","Aquaman ; DC Universe rebirth","5 [Aquaman]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","016643244","Monograph","Language material ; Still image ; Text","Volume","GBB424496","9780785188896","Annihilation omnibus","","","","United States of America","New York","Marvel","2014","","1 volume, chiefly illustrations, 28 cm","741.5","","","Science fiction ; Young adult fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","016714023","Monograph","Language material ; Still image ; Text","Volume","GBB450539","9780785189770","Rocket Raccoon and Groot steal the galaxy! : prose novel","Steal the galaxy!","Guardians of the galaxy ; Rocket Raccoon & Groot","","United States of America","New York","Marvel","2014","","1 volume, chiefly illustrations, 28 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","017471797","Monograph","Language material ; Still image ; Text","Volume","GBB5A5399","9781782766957","The great drain robbery","","Dreamworks Penguins of Madagascar","1 [Dreamworks Penguins of Madagascar]","England","London","Titan Comics","2015","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5941","YKL.2017.b.583","Children's stories, English ; Penguins of Madagascar (Fictitious characters)--Comic books, strips, etc--Juvenile fiction ; Graphic novels","Children's fiction ; Comic or graphic novel","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","018093900","Monograph","Language material ; Still image ; Text","Volume","GBB6F1806","9781506701035","Prometheus : life and death","","","","United States of America","Milwaukie","Dark Horse","2017","","1 volume, chiefly colour illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","018171034","Monograph","Language material ; Still image ; Text","Volume","GBB703903","9781401268749","Out of darkness","","Aquaman","volume 8 [Aquaman]","United States of America","Burbank, California","DC Comics","2017","","144 unnumbered pages, chiefly colour illustrations, 26 cm","741.5973","YKL.2018.b.2462","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","018214508","Monograph","Language material ; Still image ; Text","Volume","GBB717578","9781302904685","Marvel's Guardians of the galaxy. Vol. 2","Guardians of the galaxy","","","United States of America","New York","Marvel Worldwide","2017","","1 volume, chiefly illustrations, 23 cm","741.5941","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019048736","Monograph","Language material ; Still image ; Text","Volume","GBB8G7969","9781401285043","Aquaman : underworld","","","","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly colour illustrations, 28 cm","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019071381","Monograph","Language material ; Still image ; Text","Volume","GBB8I0178","9781401285302","Mera, Queen of Atlantis","","","","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019071390","Monograph","Language material ; Still image ; Text","Volume","GBB8I0187","9781401285432","Kingslayer","","Aquaman","6 [Aquaman]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019071401","Monograph","Language material ; Still image ; Text","Volume","GBB8I0198","9781401286286","DC meets Hanna Barbera. Vol. 2","","","","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5973","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019326549","Monograph","Language material ; Still image ; Text","Volume","GBB955637","9781401291068","Aquaman. Vol. 7","","","","United States of America","Burbank, California","DC Comics","2019","","1 volume, chiefly illustrations, 26 cm","741.5","","Aquaman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019907623","Monograph","Language material ; Still image ; Text","Volume","GBC0D0735","9781401299873","Final frontier","","Justice League odyssey","3 [Justice League odyssey]","United States of America","Burbank, California","DC Comics","2020","","1 volume, chiefly illustrations","741.5973","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Abnett, Dan, author [person]","019971022","Monograph","Language material ; Still image ; Text","Volume","GBC0F4246","9781789993158","Lone wolves","","Warhammer 40,000","","England","Nottingham","Games Workshop","2020","New edition, Dan Abnett","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5941","","Science fiction comic books, strips, etc","","English","Previous edition: published as by Dan Abnett, Karl Richardson. 2004"
"Abnett, Dan","","person","author","Abnett, Nik, 1964-, author [person] ; Abnett, Dan, author [person] ; Culbard, Ian, artist [person]","017912388","Monograph","Language material ; Still image ; Text","Volume","GBB691449","9781608868773","Wild's end. Volume two. The enemy within","Enemy within","","","United States of America","Los Angeles, California","BOOM! Studios","2016","","1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm","741.5941","YKL.2018.b.1911","Science fiction comic books, strips, etc","Comic or graphic novel","English","'Originally published in single magazine form as Wild's end: The enemy within number 1-6'--Colophon"
"Abnett, Dan","","person","author","Alves, Wellinton, artist [person] ; Abnett, Dan, author [person] ; Lanning, Andy, author [person]","016707969","Monograph","Language material ; Still image ; Text","Volume","GBB447179","9780785154105","Marvel's Guardians of the galaxy prelude","Guardians of the galaxy prelude","","","United States of America","New York","Marvel","2014","","1 volume, chiefly illustrations, 26 cm","741.5941","","Science fiction comic books, strips, etc","","English",""
"Abnett, Dan","","person","author","Alves, Wellinton, artist [person] ; Abnett, Dan, author [person] ; Lanning, Andy, author [person]","019114616","Monograph","Language material ; Still image ; Text","Volume","GBB8K1678","9781302915551","Nova by Abnett & Lanning : the complete collection. Volume 2","","","","United States of America","New York","Marvel Worldwide","2019","","1 volume, illustrations, 26 cm","741.5","","Nova, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Beredo, Rain [person] ; Richards, Cliff, artist [person] ; Conrad, Will, artist [person] ; Abnett, Dan, author [person] ; Bennett, Deron [person]","020141396","Monograph","Language material ; Text","Volume","GBC147343","9781779509161","Last stand","","Justice League Odyssey","4 [Justice League Odyssey]","United States of America","Burbank, California","DC Comics","2021","","1 volume, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Bogdanovic, Viktor, artist [person] ; Abnett, Dan, author [person]","019280905","Monograph","Language material ; Still image ; Text","Volume","GBB941407","9781401289232","Leviathan Civil War","","The Silencer","2 [The Silencer]","United States of America","Burbank, California","DC Comics","2019","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","Booth, Brett, artist [person] ; Abnett, Dan, author [person] ; Major, Guy [person] ; Napolitano, Tom [person] ; Dell, John, artist [person] ; Dalhouse, Andrew [person] ; Norris, Paul (Paul Leroy), 1914-2007 [person] ; Cifuentes, Vicente, artist [person]","017953975","Monograph","Language material ; Still image ; Text","Volume","GBB6A4087","9781401264758","Aquaman. Volume 8. Out of darkness","Out of darkness","","","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), chiefly illustrations (black and white and colour), 27 cm","741.5973","YKL.2018.b.1788","Science fiction comic books, strips, etc","Comic or graphic novel","English","'Aquaman created by Paul Norris.' ; 'Originally published in single magazine form in Aquaman 49-52, Aquaman: Rebirth 1'--Title page verso"
"Abnett, Dan","","person","author","Booth, Brett, artist [person] ; Abnett, Dan, author [person] ; Priest, Christopher, 1943-, author [person]","018862172","Monograph","Language material ; Still image ; Text","Volume","GBB884675","9781401280970","The Lazarus contract","","Titans","","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5941","","Teen Titans (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English",""
"Abnett, Dan","","person","author","Booth, Brett, artist [person] ; Abnett, Dan, author [person]","018419242","Monograph","Language material ; Still image ; Text","Volume","GBB7B8795","9781401273774","Titans. Volume 2","","DC Universe rebirth","","United States of America","Burbank, California","DC Comics","2017","","1 volume, chiefly colour illustrations","741.5","","Titans (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Booth, Brett, artist [person] ; Abnett, Dan, author [person]","018635477","Monograph","Language material ; Still image ; Text","Volume","GBB7N2134","9781401277598","A Judas among us (rebirth)","","Rebirth ; Titans","3 [Titans]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Titans (Fictitious characters)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Abnett, Dan","","person","author","Booth, Brett, artist [person] ; Deering, Marc, artist [person] ; Abnett, Dan, author [person] ; Rapmund, Norm, artist [person] ; Dalhouse, Andrew, artist [person]","018171019","Monograph","Language material ; Still image ; Text","Volume","GBB703888","9781401268176","Titans. volume 1. The return of Wally West","The return of Wally West","DC Universe rebirth","","United States of America","Burbank, California","DC Comics","2017","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5","YKL.2018.b.3019","Superheroes--Comic books, strips, etc ; Teen Titans (Fictitious characters)--Comic books, strips, etc ; Good and evil--Comic books, strips, etc ; West, Wally, (Fictitious character)--Comic books, strips, etc ; Science fiction comic books, strips, etc","Comic or graphic novel","English","'Originally published in single magazine form in Titans 1-6' --title page verso"
"Abnett, Dan","","person","author","Coipel, Olivier, artist [person] ; Abnett, Dan, author [person] ; Lanning, Andy, author [person]","018828821","Monograph","Language material ; Still image ; Text","Volume","GBB866020","9781401280406","The legion by Dan Abnett & Andy Lanning. Vol. 2","","","","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly colour illustrations, 26 cm","741.5","","","Science fiction","English",""
"Abnett, Dan","","person","author","C̦inar, Yildiray, 1976-, illustrator [person] ; Kayanan, Rafael, illustrator [person] ; Aviña, Tony, 1973- [person] ; O'Hare, Michael (Michael S.), illustrator [person] ; Abnett, Dan, author [person] ; Layno, Kathryn [person] ; Bennett, Deron [person] ; Derenick, Tom, illustrator [person] ; Mayor, Randy, illustrator [person]","017001142","Monograph","Language material ; Still image ; Text","Volume","GBB501114","9781401250690","He-Man and the Masters of the Universe. Volume 4. What lies within","What lies within","","","United States of America","New York","DC Comics","2015","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2016.b.4066","COMICS & GRAPHIC NOVELS / Media Tie-In","Comic or graphic novel ; Novel","English","'Based on a story by Rob David and Lloyd Goldfine'"
